Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,PV-31251B,7/10/2015 0:00,"Leakage found between bonnet and body, dismantle for m/c , Replace plug, seat and cage, change packing and gasket, body studs need more time to dismantle, so no machining done for valve body, after assemble some leakage found.",,
AFC 2,PV-31251B,1/1/2023 0:00,Change Bushing,,
AFC 2,PV-31254,8/10/2015 0:00,"Pressure test is ok, change packing.",,
AFC 2,PV-31254,4/1/2022 0:00,Gland tighted,,
AFC 2,PV-31313,2/10/2015 0:00,"The leakage through found (40 ml/min) is more than the accepted value (16 ml/min), dismantle valve internals plug, seat and body for machining, working in actuator maintenance.",,
AFC 2,PV-31313,21-8-2019,"Change bushing, check its movement",,
AFC 2,PV-32212,9/10/2015 0:00,Small leakage found can be accepted.,,
AFC 2,PV-32212,20-8-2019,Dismount; send plug and seat for machining,,
AFC 2,PV-32212,21-8-2019,"machining for internal, change packing",,
AFC 2,PV-32312,9/10/2015 0:00,Small leakage found can be accepted.,,
AFC 2,PV-32312,20-8-2019,"change packing, check its movement",,
AFC 2,PV-82201A,27-8-2019,Change actuator bushing and support in the field,,
AFC 2,PV-82201,28-6-2015,Change actuator bushing due to air leakage.,,
AFC 2,PV-82208,30/10/2022,Gland Tighted,,
AFC 2,TV-03011,25-8-2019,"Machining for its internals, change packing leak test and check for its movement",,
AFC 2,TV-03013,8/12/2020 0:00,Change Packing,,
AFC 2,TV-04007,44019,Check for leakage 60 bar. Add 3 packing ring  ,,
AFC 2,TV-04007,30/11/2020,gland leakage = Tighted ,,
AFC 2,TV-31021,8/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,TV-31021,22-8-2019,Check for movment and machining for coupling,,
AFC 2,TV-31021,22-10-2020,Maintenance the actuator in field,,
AFC 2,TV-31021,10/1/2021 0:00,Adjust Handwheel,,
AFC 2,TV-31021,7/1/2022 0:00,Machinig for Plug + Body Weld,,
AFC 2,TV-31021,4/12/2022 0:00,Gland tighted,,
AFC 2,TV-31034,8/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,TV-31034,24-8-2019,"Machining for internal, leak test and check for its movement",,
AFC 2,TV-32001A,5/10/2015 0:00,"Leakage found at pressure test, dismantle for machining , Assemble valve, pressure test ok.",,
AFC 2,TV-32001A,6/10/2022 0:00,chage yoke,,
AFC 2,TV-32001A,6/1/2022 0:00,Adjustment,,
AFC 2,TV-32001B,5/10/2015 0:00,Pressure test found ok.,,
AFC 2,TV-32001B,6/10/2022 0:00,change actutor,,
AFC 2,TV-32001B,6/1/2022 0:00,Adjustment,,
AFC 2,TV-32011,6/10/2015 0:00,"Leakage found less than the accepted value, change actuator bushing and packing.",,
AFC 2,TV-32011,25-8-2019,"Machining for internal, leak test and check for its movement",,
AFC 2,TV-32012,22-8-2019,"Dismount, send its internal to workshop",,
AFC 2,TV-32012,23-8-2019,Check for movement and machining for its internal,,
AFC 2,TV-32012,13/12/2021,Gland Tighted,,
AFC 2,TV-32023,4/10/2015 0:00,"Leakage through found, dismantle internals for machining , Assemble after internals machining, test ok.",,
AFC 2,TV-32023,20-8-2019,Valves delivered to workshop,,
AFC 2,TV-32060,28-4-2020,change bushing ,,
