warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001196,0190546800008310,NEW,Lv-54v034 Type : Diaphragm-Posno.20030,25-DN41-64SITZQ000,LV-54034,,PC,ZSPR
10,2200001197,0190546800008320,NEW,Fv-54v012 Type : Packing -Posno.20002,20002,FV-54012,,PC,ZSPR
10,2200001198,0190546800008330,NEW,Fv-54v012 Type : Gasket-Posno.20001,25-DN41-64SITZQ000,FV-54012,,PC,ZSPR
10,2200001199,0190546800008340,NEW,Fv-54v012 Type : Diaphragm-Posno.20003,25-DN41-64SITZQ000,FV-54012,,PC,ZSPR
10,2200001200,0190546800008350,NEW,Fv-54v024 Type : Packing -Posno.20005,20005,FV-54024,,PC,ZSPR
10,2200001201,0190546800008360,NEW,Fv-54v024 Type : Gasket-Posno.20004,25-DN41-64SITZQ000,FV-54024,,PC,ZSPR
10,2200001202,0190546800008370,NEW,Fv-54v024 Type : Diaphragm-Posno.20006,25-DN41-64SITZQ000,FV-54024,,PC,ZSPR
10,2200001203,0190546800008380,NEW,Fv-54v025 Type : Packing -Posno.20008,20008,FV-54025,,PC,ZSPR
10,2200001204,0190546800008390,NEW,Fv-54v025 Type : Gasket-Posno.20007,25-DN41-64SITZQ000,FV-54025,,PC,ZSPR
10,2200001205,0190546800008400,NEW,Pv-54v034 Type : Packing -Posno.20032,20032,PV-54034,,PC,ZSPR
10,2200001206,0190546800008410,NEW,Pv-54v568 Type : Gasket-Posno.20031,25-DN41-64SITZQ000,PV-54568,,PC,ZSPR
10,2200001207,0190546800008420,NEW,Pv-54v568 Type : Diaphragm-Posno.20033,25-DN41-64SITZQ000,PV-54568,,PC,ZSPR
10,2200001208,0190546800008430,NEW,Xv-54v006 Type : Packing -Posno.20035,20035,XV-54006,,PC,ZSPR
10,2200001209,0190546800008440,NEW,Xv-54v006 Type : Gasket-Posno.20034,25-DN41-64SITZQ000,XV-54006,,PC,ZSPR
10,2200001210,0190546800008450,NEW,Xv-54v006 Type : Diaphragm-Posno.20036,25-DN41-64SITZQ000,XV-54006,,PC,ZSPR
10,2200001211,0190546800008470,NEW,Xv-54v010 Type : Gasket-Posno.20037,25-DN41-64SITZQ000,XV-54010,,PC,ZSPR
10,2200001212,0190546800008480,NEW,Xv-54v010 Type : Diaphragm-Posno.20039,25-DN41-64SITZQ000,XV-54010,,PC,ZSPR
10,2200001213,0190556800020016,NEW,Spi Nadl R 23775,25-DN40-64SITZQ000,PV-52802,,PC,ZSPR
10,2200001214,0190556800020021,NEW,Bushing Seal Orings 1d 3483 0699,0699,PV-52802,,PC,ZSPR
10,2200001215,0190556800020035,NEW,Piston Seal Oring 1h 8626 0699,0699,PV-52802,,PC,ZSPR
10,2200001216,0190556800020040,NEW,Piston Rod Boot 1h 872100699,872100699,PV-52802,,PC,ZSPR
10,2200001217,0190556800020054,NEW,Bushing Seal Orings 1f 4492 0699,0699,PV-52802,,PC,ZSPR
10,2200060928,0190556800020069,NEW,Head Seal Orings 1h 9724 0699,0699,PV-52802,,PC,ZSPR
